id,target
0,0.24329059
1,0.12788056
2,0.22622387
3,0.32618836
4,0.23185575
5,0.13428096
6,0.41250575
7,0.60376465
8,0.11876654
9,0.23439075
10,0.18687059
11,0.50809914
12,0.28105685
13,0.31353995
14,0.23000441
15,0.25163883
16,0.32656845
17,0.107969895
18,0.2382451
19,0.3357696
20,0.2362204
21,0.18350767
22,0.15066911
23,0.13329616
24,0.24232206
25,0.1883781
26,0.089748725
27,0.31326705
28,0.6300127
29,0.34203985
30,0.30355775
31,0.19565138
32,0.2356797
33,0.0809918
34,0.24844146
35,0.24469995
36,0.48363492
37,0.2963092
38,0.22102906
39,0.40485325
40,0.23262948
41,0.23960726
42,0.5502632
43,0.23169193
44,0.25573403
45,0.48188844
46,0.2218246
47,0.39272317
48,0.3512499
49,0.334228
50,0.2534817
51,0.38549092
52,0.12570284
53,0.4768703
54,0.31068802
55,0.4500337
56,0.22114944
57,0.16093718
58,0.16185063
59,0.12355804
60,0.24480084
61,0.2789811
62,0.23027402
63,0.45950297
64,0.10688481
65,0.45284668
66,0.41741696
67,0.23988952
68,0.06990852
69,0.16950254
70,0.3394679
71,0.17764764
72,0.31905982
73,0.15422791
74,0.25492024
75,0.20645025
76,0.3082196
77,0.14172272
78,0.23106857
79,0.32811782
80,0.2825328
81,0.30991292
82,0.16229568
83,0.12163419
84,0.2355035
85,0.11974161
86,0.29340243
87,0.16262116
88,0.48678532
89,0.21458064
90,0.16977894
91,0.17786513
92,0.16698684
93,0.22858119
94,0.2609347
95,0.16114628
96,0.2041591
97,0.3828262
98,0.18005364
99,0.52015203
100,0.20676279
101,0.26033807
102,0.19419093
103,0.104724094
104,0.2478988
105,0.31957513
106,0.1684731
107,0.118757986
108,0.26053828
109,0.46020573
110,0.56920034
111,0.4039135
112,0.17031808
113,0.63533795
114,0.43819472
115,0.1445268
116,0.39095154
117,0.16827694
118,0.40799224
119,0.30899844
120,0.34287497
121,0.16865045
122,0.27595085
123,0.6793964
124,0.24583927
125,0.076143175
126,0.1343901
127,0.3085571
128,0.27124485
129,0.13076608
130,0.5868656
131,0.48643
132,0.22970168
133,0.26118734
134,0.16488448
135,0.2395183
136,0.30922523
137,0.27607042
138,0.6093401
139,0.44850713
140,0.22794144
141,0.35951
142,0.3123562
143,0.3296953
144,0.30073115
145,0.39323616
146,0.23516577
147,0.2425179
148,0.19658111
149,0.26987782
150,0.22953801
151,0.088092394
152,0.44649744
153,0.23373356
154,0.20526883
155,0.40311226
156,0.10951827
157,0.426835
158,0.43197477
159,0.24562295
160,0.21192832
161,0.215175
162,0.33523157
163,0.21376903
164,0.6068433
165,0.14356442
166,0.55530536
167,0.41138482
168,0.240389
169,0.7282839
170,0.3325895
171,0.66725564
172,0.26215255
173,0.24074516
174,0.16708936
175,0.251827
176,0.21783502
177,0.29128575
178,0.42862412
179,0.27073413
180,0.2738048
181,0.27477017
182,0.23414738
183,0.09485456
184,0.41443476
185,0.49896058
186,0.30112338
187,0.16281591
188,0.3532156
189,0.32472003
190,0.09482159
191,0.3361231
192,0.37078843
193,0.46709532
194,0.2840658
195,0.18505074
196,0.23475938
197,0.61630017
198,0.61679816
199,0.48615295
200,0.2812861
201,0.2324094
202,0.10424431
203,0.21080777
204,0.31613535
205,0.28333658
206,0.41378194
207,0.6407272
208,0.2913201
209,0.29522616
210,0.24418642
211,0.32585242
212,0.24911666
213,0.3897376
214,0.21674213
215,0.46036273
216,0.20614132
217,0.22332491
218,0.115938455
219,0.4503562
220,0.19384901
221,0.16184391
222,0.2377743
223,0.19496074
224,0.1663529
225,0.18735628
226,0.32886112
227,0.1582679
228,0.2660535
229,0.2145635
230,0.24748944
231,0.16850053
232,0.45577082
233,0.18954462
234,0.21269947
235,0.20954177
236,0.22652702
237,0.22635303
238,0.45783508
239,0.71427387
240,0.29589736
241,0.1480883
242,0.30962187
243,0.19110295
244,0.23470454
245,0.2368354
246,0.28376698
247,0.25253898
248,0.5240889
249,0.1835609
250,0.21863945
251,0.40967637
252,0.30218896
253,0.24719708
254,0.12967977
255,0.15469524
256,0.13420242
257,0.21474159
258,0.17353714
259,0.54360765
260,0.21687469
261,0.19104616
262,0.3061572
263,0.27247098
264,0.29663515
265,0.3344612
266,0.1468163
267,0.18711145
268,0.24619104
269,0.25613028
270,0.23773621
271,0.280479
272,0.2476735
273,0.26018313
274,0.36556804
275,0.5391514
276,0.14960732
